iter	RMSE
0	100.7834974
1	97.80766627
2	94.95938455
3	91.96932581
4	89.10649632
5	86.04324638
6	83.15735313
7	80.56038133
8	78.08651839
9	75.73336162
10	73.37502655
11	71.26913388
12	69.04877447
13	67.23229873
14	65.12915709
15	63.10719054
16	61.09773765
17	59.79067378
18	58.12536378
19	56.53948309
20	54.84837474
21	53.21320933
22	51.81912909
23	50.34948248
24	48.87290196
25	47.42154763
26	46.07357398
27	44.7462969
28	43.52786447
29	42.35696871
30	41.1567874
31	40.00361893
32	38.90854056
33	37.79842123
34	36.69033377
35	35.63880561
36	34.72072504
37	33.92935087
38	33.10286028
39	32.23261178
40	31.39113865
41	30.65573642
42	29.91558583
43	29.16068807
44	28.3105404
45	27.58176171
46	26.90568195
47	26.239343
48	25.61659197
49	24.90932698
50	24.38412932
51	23.71605398
52	23.1475089
53	22.65258593
54	22.27163214
55	21.7996659
56	21.31468715
57	20.8412651
58	20.36939925
59	19.93904614
60	19.51615252
61	19.07518563
62	18.71942529
63	18.35538493
64	17.95896224
65	17.59366013
66	17.26487695
67	16.91115677
68	16.57379584
69	16.26235933
70	15.9473822
71	15.66122248
72	15.37838931
73	15.10013635
74	14.81671254
75	14.56867954
76	14.33622048
77	14.10668017
78	13.86827013
79	13.69219962
80	13.48214752
81	13.28458321
82	13.05985844
83	12.91272672
84	12.71662394
85	12.49971111
86	12.34091209
87	12.17761542
88	12.00487927
89	11.86768032
90	11.69215532
91	11.57147347
92	11.44493646
93	11.28969755
94	11.17083013
95	11.04869695
96	10.957858
97	10.8583506
98	10.7741536
99	10.6704489
100	10.5625111
101	10.48326126
102	10.38925295
103	10.31067895
104	10.24787591
105	10.16859473
106	10.10808943
107	10.04342208
108	9.967094113
109	9.895383023
110	9.831535677
111	9.762805584
112	9.697786845
113	9.640130491
114	9.580369105
115	9.509585608
116	9.439228063
117	9.375841513
118	9.33383223
119	9.286153356
120	9.244160112
121	9.208012137
122	9.168730023
123	9.117129285
124	9.076037699
125	9.034719893
126	9.006268646
127	8.975426565
128	8.934509948
129	8.910094414
130	8.8774012
131	8.84319118
132	8.814047167
133	8.786040713
134	8.75975835
135	8.729658826
136	8.698037153
137	8.67049848
138	8.647357098
139	8.615496052
140	8.590148262
141	8.578203104
142	8.551169757
143	8.530814643
144	8.512495683
145	8.487573707
146	8.458870369
147	8.440139145
148	8.420657696
149	8.397994571
150	8.378041298
151	8.355421633
152	8.337503761
153	8.321771659
154	8.296633708
155	8.277105319
156	8.259922165
157	8.238208378
158	8.218356806
159	8.199465201
160	8.174857774
161	8.153495916
162	8.137282651
163	8.118073691
164	8.101949101
165	8.077766945
166	8.059390687
167	8.041453765
168	8.02377845
169	8.012658604
170	7.998329356
171	7.979418293
172	7.966173655
173	7.94889362
174	7.932365229
175	7.918879973
176	7.903137176
177	7.878785511
178	7.86792098
179	7.847707066
180	7.832607366
181	7.818248173
182	7.804707566
183	7.792472812
184	7.778142313
185	7.762374443
186	7.752344406
187	7.737660011
188	7.730373946
189	7.719583683
190	7.706266175
191	7.690658774
192	7.681340199
193	7.671441206
194	7.6600664
195	7.641093833
196	7.629295981
197	7.621585669
198	7.611463977
199	7.599596643
200	7.587772594
201	7.574149497
202	7.562349702
203	7.554036852
204	7.541786668
205	7.529599822
206	7.516018918
207	7.505325696
208	7.497795482
209	7.480843837
210	7.471754457
211	7.463841753
212	7.455574749
213	7.44591549
214	7.43639587
215	7.427324819
216	7.410358251
217	7.396441451
218	7.387772346
219	7.377191967
220	7.363038767
221	7.354061191
222	7.345678707
223	7.330101185
224	7.318685117
225	7.310498793
226	7.30447133
227	7.293020544
228	7.27951858
229	7.270645529
230	7.259965811
231	7.249925383
232	7.239626659
233	7.231389535
234	7.224930273
235	7.21324689
236	7.207774913
237	7.197205556
238	7.18776103
239	7.17441807
240	7.16268296
241	7.158276557
242	7.147252476
243	7.140463931
244	7.135807776
245	7.123071346
246	7.107472761
247	7.095421189
248	7.08064727
249	7.070930198
250	7.057994485
251	7.048116743
252	7.038059271
253	7.024063285
254	7.020910038
255	7.010256319
256	7.000884258
257	6.986876702
258	6.974101828
259	6.967569067
260	6.952695071
261	6.945174992
262	6.929776503
263	6.92811735
264	6.926837664
265	6.915810868
266	6.903797534
267	6.891839409
268	6.884863674
269	6.873556623
270	6.867447859
271	6.856695932
272	6.85511263
273	6.846941481
274	6.841442034
275	6.829311341
276	6.813518145
277	6.803937076
278	6.786906194
279	6.772368843
280	6.764397159
281	6.748110851
282	6.732962484
283	6.725359555
284	6.712312638
285	6.703996037
286	6.70275247
287	6.699561126
288	6.688903921
289	6.675701933
290	6.663921106
291	6.651310556
292	6.638721043
293	6.630002984
294	6.617102729
295	6.603962564
296	6.602638181
297	6.590315287
298	6.580225882
299	6.571866531
300	6.560052635
301	6.558915213
302	6.5517647
303	6.550044816
304	6.538804727
305	6.534824221
306	6.524147127
307	6.510070602
308	6.501351126
309	6.498128303
310	6.485916458
311	6.484866993
312	6.484041326
313	6.48317885
314	6.479980635
315	6.468190811
316	6.467247868
317	6.466499018
318	6.46515602
319	6.464056706
320	6.451056648
321	6.438764914
322	6.437705576
323	6.419510456
324	6.408109513
325	6.397345826
326	6.386042273
327	6.382709884
328	6.381598045
329	6.377738708
330	6.368949614
331	6.361137357
332	6.360179461
333	6.359378928
334	6.348330023
335	6.341568576
336	6.332435202
337	6.321363679
338	6.315170978
339	6.314446996
340	6.313546311
341	6.303988034
342	6.303393854
343	6.293939162
344	6.280577213
345	6.268243272
346	6.259865442
347	6.245506726
348	6.244310945
349	6.236810625
350	6.234038497
351	6.22161193
352	6.218806965
353	6.218086152
354	6.21401989
355	6.198900478
356	6.18715455
357	6.180821808
358	6.176608446
359	6.175677395
360	6.1638318
361	6.15282754
362	6.141910409
363	6.129056323
364	6.128399604
365	6.110544697
366	6.096207575
367	6.084120857
368	6.072132263
369	6.062193658
370	6.061423534
371	6.06027131
372	6.050812508
373	6.050249127
374	6.039689358
375	6.035556213
376	6.027465013
377	6.01988249
378	6.014601561
379	6.014000372
380	6.013353237
381	6.00335219
382	5.99251803
383	5.984728159
384	5.981552862
385	5.977062332
386	5.966701652
387	5.956389773
388	5.948607685
389	5.941307209
390	5.937229611
391	5.928348914
392	5.918952981
393	5.91104047
394	5.905095127
395	5.896723077
396	5.896091534
397	5.894646208
398	5.892263632
399	5.885115663
400	5.878490036
401	5.872082339
402	5.861217031
403	5.852527223
404	5.839773943
405	5.839293074
406	5.829458067
407	5.820322109
408	5.807387264
409	5.805760266
410	5.80384815
411	5.803213612
412	5.802651888
413	5.795585322
414	5.786016861
415	5.77759349
416	5.768502237
417	5.754925642
418	5.743160017
419	5.733958908
420	5.733365962
421	5.723132757
422	5.719782759
423	5.708815977
424	5.698502857
425	5.684347749
426	5.682070547
427	5.670747551
428	5.659039521
429	5.64929788
430	5.639238452
431	5.625682071
432	5.613139536
433	5.599339495
434	5.598013031
435	5.595220913
436	5.59474445
437	5.584178378
438	5.577553918
439	5.570722339
440	5.569972477
441	5.565917625
442	5.565037605
443	5.558102541
444	5.548913603
445	5.547136665
446	5.536884171
447	5.536141674
448	5.529579306
449	5.518933625
450	5.511962382
451	5.506468404
452	5.496870536
453	5.491758019
454	5.481166808
455	5.475093444
456	5.46245013
457	5.452251905
458	5.442518496
459	5.440813377
460	5.427995686
461	5.42156206
462	5.411968466
463	5.411465358
464	5.407061203
465	5.404715985
466	5.397180792
467	5.386251235
468	5.377358676
469	5.371862874
470	5.362797097
471	5.355926772
472	5.344305036
473	5.334601104
474	5.324276519
475	5.315882561
476	5.306260136
477	5.298907017
478	5.298322021
479	5.289543911
480	5.278697626
481	5.271260367
482	5.270800618
483	5.259904555
484	5.248586396
485	5.245380321
486	5.235913997
487	5.229766582
488	5.219684425
489	5.219008139
490	5.210484126
491	5.199726545
492	5.197273701
493	5.197044691
494	5.185326313
495	5.184573381
496	5.179122255
497	5.174755663
498	5.174307345
499	5.168514175
500	5.157879624
501	5.149668456
502	5.147393685
503	5.13803533
504	5.125180336
505	5.115760411
