iter	Passed	Remaining
0	2	2839
1	5	2629
2	7	2533
3	9	2463
4	12	2479
5	14	2463
6	17	2452
7	19	2439
8	21	2419
9	24	2404
10	26	2397
11	28	2385
12	31	2372
13	33	2367
14	36	2365
15	38	2356
16	40	2354
17	42	2342
18	45	2329
19	47	2324
20	49	2312
21	51	2305
22	54	2299
23	56	2296
24	58	2282
25	60	2273
26	62	2264
27	64	2254
28	67	2248
29	69	2245
30	71	2246
31	74	2240
32	76	2236
33	78	2234
34	80	2230
35	83	2226
36	85	2225
37	87	2219
38	89	2214
39	92	2208
40	94	2207
41	96	2204
42	98	2199
43	102	2226
44	104	2220
45	106	2214
46	108	2208
47	111	2204
48	113	2201
49	115	2198
50	117	2194
51	120	2193
52	122	2187
53	124	2183
54	126	2179
55	129	2176
56	131	2172
57	133	2171
58	136	2169
59	138	2166
60	140	2163
61	142	2160
62	144	2156
63	147	2152
64	149	2151
65	151	2148
66	154	2146
67	156	2142
68	158	2139
69	160	2136
70	162	2124
71	164	2120
72	166	2117
73	168	2114
74	171	2110
75	173	2108
76	175	2104
77	177	2101
78	180	2099
79	182	2096
80	184	2093
81	186	2088
82	188	2085
83	190	2082
84	193	2080
85	195	2077
86	197	2075
87	200	2073
88	202	2071
89	204	2068
90	206	2064
91	208	2061
92	211	2059
93	213	2057
94	215	2054
95	217	2052
96	220	2050
97	222	2049
98	224	2046
99	227	2043
100	229	2041
101	231	2038
102	233	2035
103	235	2033
104	238	2030
105	240	2027
106	242	2024
107	244	2022
108	247	2019
109	249	2016
110	251	2014
111	253	2011
112	255	2008
113	258	2006
114	260	2004
115	262	2002
116	264	1999
117	267	1998
118	269	1996
119	272	1994
120	274	1992
121	276	1990
122	278	1987
123	280	1985
124	283	1982
125	285	1979
126	287	1976
127	289	1974
128	291	1970
129	293	1966
130	296	1965
131	298	1961
132	299	1954
133	302	1952
134	304	1950
135	306	1947
136	308	1945
137	311	1944
138	313	1941
139	315	1939
140	317	1936
141	320	1933
142	322	1931
143	324	1929
144	326	1927
145	329	1924
146	331	1922
147	333	1919
148	335	1917
149	337	1914
150	340	1912
151	342	1910
152	344	1907
153	346	1904
154	349	1902
155	351	1900
156	353	1897
157	355	1896
158	358	1893
159	360	1891
160	362	1889
161	364	1887
162	367	1884
163	369	1882
164	371	1880
165	373	1877
166	376	1875
167	378	1873
168	380	1870
169	382	1869
170	385	1867
171	387	1865
172	389	1863
173	391	1860
174	394	1858
175	396	1855
176	398	1853
177	400	1851
178	403	1848
179	405	1846
180	407	1844
181	409	1841
182	412	1839
183	414	1837
184	416	1835
185	418	1832
186	421	1830
187	423	1827
188	425	1825
189	427	1822
190	429	1820
191	432	1818
192	434	1815
193	436	1813
194	438	1811
195	441	1809
196	443	1807
197	445	1805
198	447	1802
199	450	1800
200	452	1797
201	454	1795
202	456	1793
203	459	1791
204	461	1788
205	463	1786
206	465	1783
207	467	1780
208	469	1778
209	472	1776
210	474	1773
211	476	1771
212	478	1769
213	481	1767
214	483	1765
215	485	1762
216	487	1760
217	490	1758
218	492	1756
219	494	1753
220	496	1751
221	499	1749
222	501	1747
223	503	1745
224	505	1742
225	508	1740
226	510	1737
227	512	1734
228	514	1732
229	516	1730
230	519	1728
231	521	1725
232	523	1723
233	525	1721
234	527	1718
235	530	1716
236	532	1714
237	534	1712
238	537	1709
239	539	1707
240	541	1705
241	543	1702
242	545	1700
243	548	1699
244	550	1697
245	552	1694
246	555	1692
247	557	1689
248	559	1687
249	561	1684
250	563	1682
251	565	1679
252	568	1677
253	570	1675
254	572	1672
255	574	1670
256	577	1669
257	579	1666
258	581	1664
259	583	1662
260	586	1659
261	588	1656
262	590	1655
263	592	1652
264	594	1650
265	597	1647
266	599	1645
267	601	1643
268	603	1641
269	606	1639
270	608	1636
271	610	1634
272	612	1631
273	615	1629
274	617	1627
275	619	1625
276	621	1623
277	624	1621
278	626	1619
279	628	1616
280	631	1614
281	633	1612
282	635	1610
